Week_Start,Bull_Bear,High_Day,Low_Day
2016-05-31,Bullish,Monday,Wednesday
2016-06-07,Bearish,Wednesday,Monday
2016-06-14,Bullish,Monday,Thursday
2016-06-21,Bearish,Thursday,Monday
2016-06-28,Bullish,Friday,Tuesday
2016-07-05,Bullish,Monday,Wednesday
2016-07-12,Bullish,Friday,Tuesday
2016-07-19,Bullish,Wednesday,Tuesday
2016-07-26,Bullish,Monday,Wednesday
2016-08-02,Bullish,Monday,Tuesday
2016-08-09,Bullish,Monday,Wednesday
2016-08-16,Bearish,Thursday,Wednesday
2016-08-23,Bearish,Tuesday,Friday
2016-08-30,Bullish,Friday,Thursday
2016-09-06,Bearish,Wednesday,Monday
2016-09-13,Bearish,Monday,Wednesday
2016-09-20,Bullish,Thursday,Tuesday
2016-09-27,Bullish,Friday,Tuesday
2016-10-04,Bullish,Monday,Tuesday
2016-10-11,Bearish,Tuesday,Thursday
2016-10-18,Bullish,Monday,Friday
2016-10-25,Bearish,Tuesday,Friday
2016-11-01,Bullish,Monday,Friday
2016-11-08,Bullish,Thursday,Tuesday
2016-11-15,Bullish,Monday,Tuesday
2016-11-22,Bullish,Friday,Tuesday
2016-11-29,Bullish,Wednesday,Thursday
2016-12-06,Bullish,Monday,Tuesday
2016-12-13,Bearish,Tuesday,Wednesday
2016-12-20,Bearish,Tuesday,Thursday
2016-12-27,Bearish,Tuesday,Friday
2017-01-03,Bullish,Friday,Tuesday
2017-01-10,Bullish,Tuesday,Thursday
2017-01-17,Bearish,Friday,Monday
2017-01-24,Bullish,Thursday,Tuesday
2017-01-31,Bullish,Friday,Tuesday
2017-02-07,Bullish,Monday,Wednesday
2017-02-14,Bullish,Thursday,Tuesday
2017-02-21,Bullish,Monday,Friday
2017-02-28,Bullish,Wednesday,Tuesday
2017-03-07,Bullish,Friday,Thursday
2017-03-14,Bullish,Wednesday,Tuesday
2017-03-21,Bearish,Tuesday,Monday
2017-03-28,Bullish,Thursday,Tuesday
2017-04-04,Bullish,Wednesday,Thursday
2017-04-11,Bearish,Tuesday,Thursday
2017-04-18,Bullish,Monday,Tuesday
2017-04-25,Bullish,Wednesday,Tuesday
2017-05-02,Bullish,Monday,Wednesday
2017-05-09,Bullish,Monday,Thursday
2017-05-16,Bearish,Tuesday,Thursday
2017-05-23,Bullish,Thursday,Tuesday
2017-05-30,Bullish,Friday,Wednesday
2017-06-06,Bearish,Friday,Friday
2017-06-13,Bullish,Monday,Thursday
2017-06-20,Bearish,Tuesday,Wednesday
2017-06-27,Bearish,Wednesday,Thursday
2017-07-04,Bearish,Wednesday,Thursday
2017-07-11,Bullish,Friday,Tuesday
2017-07-18,Bullish,Thursday,Tuesday
2017-07-25,Bearish,Thursday,Thursday
2017-08-01,Bullish,Monday,Wednesday
2017-08-08,Bearish,Tuesday,Thursday
2017-08-15,Bearish,Wednesday,Monday
2017-08-22,Bullish,Tuesday,Tuesday
2017-08-29,Bullish,Friday,Tuesday
2017-09-05,Bullish,Monday,Tuesday
2017-09-12,Bullish,Monday,Tuesday
2017-09-19,Bearish,Wednesday,Monday
2017-09-26,Bullish,Monday,Tuesday
2017-10-03,Bullish,Thursday,Tuesday
2017-10-10,Bullish,Monday,Tuesday
2017-10-17,Bullish,Monday,Thursday
2017-10-24,Bullish,Friday,Wednesday
2017-10-31,Bullish,Monday,Thursday
2017-11-07,Bearish,Tuesday,Thursday
2017-11-14,Bullish,Thursday,Wednesday
2017-11-21,Bullish,Monday,Tuesday
2017-11-28,Bullish,Monday,Tuesday
2017-12-05,Bullish,Monday,Wednesday
2017-12-12,Bullish,Monday,Thursday
2017-12-19,Bearish,Tuesday,Wednesday
2017-12-26,Bearish,Friday,Friday
2018-01-02,Bullish,Monday,Tuesday
2018-01-09,Bullish,Friday,Wednesday
2018-01-16,Bullish,Monday,Tuesday
2018-01-23,Bullish,Friday,Wednesday
2018-01-30,Bearish,Wednesday,Monday
2018-02-06,Bullish,Wednesday,Friday
2018-02-13,Bullish,Friday,Tuesday
2018-02-20,Bullish,Monday,Thursday
